invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total
I138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,5/8/2022,Kanyon,7502.0
I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul,5401.53
I127801,C266599,Male,20,Clothing,1,300.08,Cash,9/11/2021,Metrocity,300.08
I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,16/05/2021,Metropol AVM,15004.25
I337046,C189076,Female,53,Books,4,60.6,Cash,24/10/2021,Kanyon,242.4
I227836,C657758,Female,28,Clothing,5,1500.4,Credit Card,24/05/2022,Forum Istanbul,7502.0
I121056,C151197,Female,49,Cosmetics,1,40.66,Cash,13/03/2022,Istinye Park,40.66
I293112,C176086,Female,32,Clothing,2,600.16,Credit Card,13/01/2021,Mall of Istanbul,1200.32
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,4/11/2021,Metrocity,2700.7200000000003
I326945,C283361,Female,60,Clothing,2,600.16,Credit Card,22/08/2021,Kanyon,1200.32
I306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,25/12/2022,Metrocity,20.92
I139207,C191708,Female,29,Books,1,15.15,Credit Card,28/10/2022,Emaar Square Mall,15.15
I640508,C225330,Female,67,Toys,4,143.36,Debit Card,31/07/2022,Metrocity,573.44
I179802,C312861,Male,25,Clothing,2,600.16,Cash,17/11/2022,Cevahir AVM,1200.32
I336189,C555402,Female,67,Clothing,2,600.16,Credit Card,3/6/2022,Kanyon,1200.32
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,7/11/2021,Viaport Outlet,15004.25
I294687,C300786,Male,65,Books,2,30.3,Debit Card,16/01/2021,Metrocity,60.6
I195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,5/1/2022,Zorlu Center,47.07
I993048,C218149,Female,46,Clothing,2,600.16,Cash,26/07/2021,Metropol AVM,1200.32
I992454,C196845,Male,24,Toys,4,143.36,Cash,7/3/2023,Cevahir AVM,573.44
I183746,C220180,Male,23,Clothing,1,300.08,Credit Card,15/02/2023,Emaar Square Mall,300.08
I412481,C125696,Female,27,Food & Beverage,1,5.23,Cash,1/5/2021,Cevahir AVM,5.23
I823067,C322947,Male,52,Clothing,2,600.16,Credit Card,18/06/2022,Cevahir AVM,1200.32
I252275,C313348,Male,44,Technology,5,5250,Cash,26/10/2021,Kanyon,26250.0
I174250,C204553,Female,42,Books,5,75.75,Cash,16/12/2022,Metrocity,378.75
I195396,C285161,Male,51,Toys,2,71.68,Debit Card,16/05/2021,Istinye Park,143.36
I196704,C289625,Female,25,Cosmetics,5,203.3,Credit Card,20/04/2022,Mall of Istanbul,1016.5
